"astrocytes" "endothelial" "microglia" "neurons" "fetal_quiescent" "fetal_replicating" "oligodendrocytes" "hybrid" "OPC" "label"
"1" 0.515180146623982 0.063516958153369 0.00151149479555627 0.227055545376159 0 0 0.192735855050934 0 0 "GTEX.11ZU8.0011.R4a.SM.5BC6Y"
"2" 0.453915630092206 0.110651304527849 0.00176957960834718 0.15170731654205 0 0 0.281956169229547 0 0 "GTEX.11ZVC.0011.R4a.SM.5BC6Z"
"3" 0.196773797525505 0.123249254221613 0.0203110600240335 0.258256886853479 0 0 0.401409001375369 0 0 "GTEX.12WSA.0011.R4a.SM.57WB7"
"4" 0.336647423932609 0.0686495216575897 0.00216160281635883 0.404773739108053 0 0 0.187767712485389 0 0 "GTEX.12WSD.0011.R4b.SM.5LZUA"
"5" 0.17000567496586 0.115473908118546 0.00950962907788573 0.427061517625482 0 0 0.277949270212226 0 0 "GTEX.12WSF.0011.R4b.SM.5HL88"
"6" 0.15416867777022 0.0712637159927085 0.00597126419337729 0.38483913722428 0 0 0.383757204819414 0 0 "GTEX.12WSH.0011.R4a.SM.5GU6K"
"7" 0.525251405283211 0.102988992535232 0 0.217157813547217 0 0 0.15460178863434 0 0 "GTEX.12ZZW.0011.R4a.SM.5DUX9"
"8" 0.122892803989295 0.227043138888451 0.00322441508619881 0.318404106422641 0 0 0.328435535613415 0 0 "GTEX.12ZZZ.0011.R4b.SM.5DUV7"
"9" 0.19574457482377 0.114061995114783 9.38839558163352e-05 0.454666165070656 0 0 0.235433381034974 0 0 "GTEX.13112.0011.R4b.SM.5DUXL"
"10" 0.247588465245108 0.06021636196653 0 0.609505150175386 0 0 0.0826900226129758 0 0 "GTEX.1313W.0011.R4b.SM.5KLZV"
"11" 0.142069347383583 0.049531608780882 0 0.46885979793912 0 0 0.339539245896415 0 0 "GTEX.131XH.0011.R4b.SM.5DUWB"
"12" 0.299510464295434 0.0467704701271635 0.00114021227318195 0.583223389045799 0 0 0.0693554642584223 0 0 "GTEX.131YS.0011.R4a.SM.5DUVL"
"13" 0.215449043342133 0.0945439785149462 0.0108361798404522 0.613257003719652 0 0 0.0659137945828163 0 0 "GTEX.1399T.0011.R4b.SM.5DUVX"
"14" 0.31284794747228 0.196246417378093 0.0234283804217545 0.286879051481974 0 0 0.180598203245899 0 0 "GTEX.139T8.0011.R4a.SM.5HL54"
"15" 0.375035044869726 0.124132778858845 0.0141015894151148 0.324629208474541 0.000347135279790988 0 0.161754243101982 0 0 "GTEX.13CZV.0011.R4b.SM.5J2NY"
"16" 0.58027869061496 0.0835478395125472 0 0.204558083966163 0 0 0.131615385906329 0 0 "GTEX.13FLV.0011.R4a.SM.5LZYU"
"17" 0.249023281045287 0.252671579551297 0.00555679064302933 0.214612897628502 0 0 0.278135451131885 0 0 "GTEX.13JVG.0011.R4a.SM.5MR4C"
"18" 0.148638970251039 0.159883179655852 0.0148486166453192 0.560686927852465 0 0 0.115942305595325 0 0 "GTEX.13N1W.0011.R4a.SM.5MR52"
"19" 0.188443457273304 0.122253956656103 0.0347305256527244 0.49542706435716 0 0 0.159144996060708 0 0 "GTEX.13N2G.0011.R4b.SM.5MR54"
"20" 0.439261854416619 0.215275497350076 0.0345777264827572 0.206606622225641 0 0 0.104278299524906 0 0 "GTEX.13NYS.0011.R4b.SM.5MR3O"
"21" 0.22124236735012 0.0727570800637176 0.00297381329355916 0.58411082667306 0 0 0.118915912619544 0 0 "GTEX.13O3O.0011.R4b.SM.5KM3F"
"22" 0.176127300342733 0.0503007500428061 0 0.657278038632117 0 0 0.116293910982343 0 0 "GTEX.13O3Q.0011.R4a.SM.5P9H2"
"23" 0.242045570248208 0.115927246426962 0.00820186677939855 0.365869916770424 0 0 0.267955399775007 0 0 "GTEX.13OVH.0011.R4a.SM.5KM3W"
"24" 0.575868882780973 0.192841162869924 0.038178488017426 0.139367113336914 0 0 0.0537443529947629 0 0 "GTEX.13OVJ.0011.R4b.SM.5P9H5"
"25" 0.325835556155418 0.14137178914404 0 0.281103832704196 0 0 0.251688821996347 0 0 "GTEX.13OVL.0011.R4b.SM.5L3HV"
"26" 0.522398373788465 0.124597030908001 0.0186195781456411 0.27528249251816 0 0 0.0591025246397339 0 0 "GTEX.13OW5.0011.R4b.SM.5L3HS"
"27" 0.190943993223151 0.177025150017572 0.00118322186112308 0.329716050934388 0 0 0.301131583963766 0 0 "GTEX.13OW6.0011.R4a.SM.5O9DX"
"28" 0.499451196477996 0.124358691584416 0 0.23396963999957 0 0 0.142220471938018 0 0 "GTEX.13OW7.0011.R4b.SM.5O9CX"
"29" 0.155495855554297 0.246272722089228 0.0267390312884083 0.323473589595981 0 0 0.247997960245063 0 2.08412270230071e-05 "GTEX.13PVQ.0011.R4a.SM.5O9CT"
"30" 0.344560191800383 0.160616616846742 0.012302964535316 0.370198255426054 0 0 0.112321971391505 0 0 "GTEX.13QIC.0011.R4a.SM.5PNX8"
"31" 0.442633570921088 0.0854269292036728 0.0188202797814866 0.280017004616457 0 0 0.173102215477296 0 0 "GTEX.13RTJ.0011.R4b.SM.5PNX1"
"32" 0.323814119125201 0.176131741904731 0.0593234034739004 0.276085955255741 0 0 0.164644780240427 0 0 "GTEX.13SLW.0011.R4b.SM.5S2W2"
"33" 0.366043574351906 0.118440412128852 0.00264414512542411 0.354822178555467 0 0 0.158049689838351 0 0 "GTEX.13SLX.0011.R4a.SM.5O9BJ"
